DEBUG 2022-06-01 14:24:08,415 autoreload File /usr/lib/python3.10/hashlib.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,415 autoreload File /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,415 autoreload File /usr/lib/python3.10/tokenize.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,416 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/utils/log.py first seen with mtime 1653493234.1513853
DEBUG 2022-06-01 14:24:08,416 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/utils/mediatypes.py first seen with mtime 1652696963.2932115
DEBUG 2022-06-01 14:24:08,416 autoreload File /usr/lib/python3.10/asyncio/events.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,416 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/sites/__init__.py first seen with mtime 1653493232.7721634
DEBUG 2022-06-01 14:24:08,416 autoreload File /usr/lib/python3.10/unittest/main.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,416 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/reverse.py first seen with mtime 1652696962.8131359
DEBUG 2022-06-01 14:24:08,416 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/psycopg2/_psycopg.cpython-310-x86_64-linux-gnu.so first seen with mtime 1653493208.6299095
DEBUG 2022-06-01 14:24:08,416 autoreload File /usr/lib/python3.10/_markupbase.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,417 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/backends/postgresql/features.py first seen with mtime 1653493233.6373103
DEBUG 2022-06-01 14:24:08,417 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1653493230.9856467
DEBUG 2022-06-01 14:24:08,417 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/files/uploadedfile.py first seen with mtime 1653493233.4431946
DEBUG 2022-06-01 14:24:08,417 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/utils/http.py first seen with mtime 1653493234.1434069
DEBUG 2022-06-01 14:24:08,418 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/urlpatterns.py first seen with mtime 1652696962.8244197
DEBUG 2022-06-01 14:24:08,418 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/__init__.py first seen with mtime 1653493225.7326853
DEBUG 2022-06-01 14:24:08,418 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/template/response.py first seen with mtime 1653493234.0346985
DEBUG 2022-06-01 14:24:08,418 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/checks/translation.py first seen with mtime 1653493233.4152694
DEBUG 2022-06-01 14:24:08,418 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/middleware/cache.py first seen with mtime 1653493233.998794
DEBUG 2022-06-01 14:24:08,418 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/management/__init__.py first seen with mtime 1653493233.4779873
DEBUG 2022-06-01 14:24:08,419 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/template/loader.py first seen with mtime 1653493234.0307083
DEBUG 2022-06-01 14:24:08,419 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/template/loaders/__init__.py first seen with mtime 1653493234.0526502
DEBUG 2022-06-01 14:24:08,419 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework_simplejwt/token_blacklist/models.py first seen with mtime 1652696964.0089784
DEBUG 2022-06-01 14:24:08,419 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/management/base.py first seen with mtime 1653493233.4799814
DEBUG 2022-06-01 14:24:08,420 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1653493233.324512
DEBUG 2022-06-01 14:24:08,420 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/template/loaders/base.py first seen with mtime 1653493234.0566392
DEBUG 2022-06-01 14:24:08,420 autoreload File /usr/lib/python3.10/wsgiref/util.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,420 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/pkg_resources/extern/__init__.py first seen with mtime 1652696728.673608
DEBUG 2022-06-01 14:24:08,420 autoreload File /usr/lib/python3.10/lzma.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,420 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/core/checks/files.py first seen with mtime 1653493233.4062943
DEBUG 2022-06-01 14:24:08,421 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/_typing.py first seen with mtime 1652696728.6613705
DEBUG 2022-06-01 14:24:08,421 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1653493233.3304963
DEBUG 2022-06-01 14:24:08,421 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/validators.py first seen with mtime 1652696962.8274915
DEBUG 2022-06-01 14:24:08,421 autoreload File /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/django/db/migrations/operations/models.py first seen with mtime 1653493233.6951554
DEBUG 2022-06-01 14:24:08,422 autoreload File /usr/lib/python3.10/urllib/request.py first seen with mtime 1649439313.0
DEBUG 2022-06-01 14:24:08,422 autoreload File /usr/lib/python3.10/email/base64mime.py first seen with mtime 1649439313.0
